mnemonic,format,type,description,action
FLD,        I,  MEM.LOAD.DP,     Load DP FP value,                    {rd} <-- mem({rs1} + {imm})[63:0]
FSD,        S,  MEM.STR.DP,      Store DP FP value,                   mem({rs1} + {imm}) <-- {rs2}[63:0]
FADD.D,     R,  FLOAT.ADD.DP,    DP FP addition,                      {rd} <-- {rs1} + {rs2}
FSUB.D,     R,  FLOAT.ADD.DP,    DP FP substraction,                  {rd} <-- {rs1} - {rs2} 
FMUL.D,     R,  FLOAT.MUL.DP,    DP FP multiplication,                {rd} <-- {rs1} x {rs2} 
FDIV.D,     R,  FLOAT.DIV.DP,    DP FP division,                      {rd} <-- {rs1} / {rs2} 
FSQRT.D,    R,  FLOAT.SQRT.DP,   DP FP square root,                   {rd} <-- sqrt({rs1})
FSGNJ.D,    R,  FLOAT.ADD.DP,    ,
FSGNJN.D,   R,  FLOAT.ADD.DP,    ,
FSGNJX.D,   R,  FLOAT.ADD.DP,    ,
FCVT.S.D,   R,  FLOAT.ADD.DP,    ,
FMIN.D,     R,  FLOAT.ADD.DP,    DP FP minimum,                       {rd} <-- min({rs1};{rs2})
FMAX.D,     R,  FLOAT.ADD.DP,    DP FP maximum,                       {rd} <-- max({rs1};{rs2})
FCVT.D.S,   R,  FLOAT.ADD.DP,    ,
FEQ.D,      R,  FLOAT.ADD.DP,    ,
FLT.D,      R,  FLOAT.ADD.DP,    ,
FLE.D,      R,  FLOAT.ADD.DP,    ,
FCLASS.D,   R,  FLOAT.ADD.DP,    ,
FCVT.W.D,   R,  FLOAT.ADD.DP,    ,
FCVT.WU.D,  R,  FLOAT.ADD.DP,    ,
FCVT.D.W,   R,  FLOAT.ADD.DP,    ,
FCVT.D.WU,  R,  FLOAT.ADD.DP,    ,
FMADD.D,    R4, FLOAT.FMA.DP,    DP FP fused multiply addition,       {rd} <-- {rs1} x {rs2} + {rs3}
FMSUB.D,    R4, FLOAT.FMA.DP,    DP FP fused multiply subtract,       {rd} <-- {rs1} x {rs2} - {rs3}
FNMADD.D,   R4, FLOAT.FMA.DP,    DP FP fused neg. multiply addition,  {rd} <-- -{rs1} x {rs2} + {rs3}
FNMSUB.D,   R4, FLOAT.FMA.DP,    DP FP fused neg. multiply substract, {rd} <-- -{rs1} x {rs2} - {rs3}

